Race : 27
{place=1, name='SW1 Girls', school='Minneapolis Southwest', grade=12, gender='F', time=1698.5}
{place=2, name='Washburn1 Girls', school='Washburn', grade=12, gender='F', time=1754.8}
{place=3, name='South1 Girls', school='Minneapolis South', grade=12, gender='F', time=1769.0}
{place=4, name='South2 Girls', school='Minneapolis South', grade=12, gender='F', time=1849.4}
{place=5, name='South4 Girls', school='Minneapolis South', grade=12, gender='F', time=1850.1}
{place=6, name='South3 Girls', school='Minneapolis South', grade=12, gender='F', time=1885.0}
{place=7, name='Washburn2 Girls', school='Washburn', grade=12, gender='F', time=2021.8}
{place=8, name='Richfield Girls A', school='Richfield', grade=12, gender='F', time=2083.2}
{place=9, name='Edison Girls 1', school='Minneapolis Edison', grade=12, gender='F', time=2086.5}
{place=10, name='SW2 Girls', school='Minneapolis Southwest', grade=12, gender='F', time=2169.8}
{place=11, name='Roosevelt Girls A', school='Minneapolis Roosevelt', grade=12, gender='F', time=2222.9}
