Race : 157
{place=1, name='Wayzata Relay1', school='Wayzata', grade=1, gender='F', time=1649.78}
{place=2, name='Edina Relay 1', school='Edina', grade=1, gender='F', time=1849.61}
{place=3, name='Armstrong Relay 4', school='Armstrong', grade=11, gender='F', time=1856.27}
{place=4, name='Hopkins 1 Relay', school='Hopkins', grade=10, gender='F', time=1914.55}
{place=5, name='Mtka Relay 1', school='Minnetonka', grade=1, gender='F', time=1950.63}
{place=6, name='Wayzata Relay2', school='Wayzata', grade=1, gender='F', time=1968.3}
{place=7, name='Wayzata Relay4', school='Wayzata', grade=1, gender='F', time=2047.91}
{place=8, name='Wayzata Relay3', school='Wayzata', grade=1, gender='F', time=2057.27}
{place=9, name='Armstrong Relay 1', school='Armstrong', grade=11, gender='F', time=2146.54}
{place=10, name='Mtka Relay 2', school='Minnetonka', grade=1, gender='F', time=2201.69}
{place=11, name='Armstrong Relay 3', school='Armstrong', grade=11, gender='F', time=2273.76}
{place=12, name='Edina Relay 3', school='Edina', grade=1, gender='F', time=2396.5}
{place=13, name='Edina Relay D', school='Edina', grade=1, gender='F', time=2443.29}
{place=14, name='Mtka Relay 3', school='Minnetonka', grade=1, gender='F', time=2601.46}
{place=15, name='Mtka Relay 4', school='Minnetonka', grade=1, gender='F', time=2607.37}
{place=16, name='Hopkins 3 Relay', school='Hopkins', grade=10, gender='F', time=2757.5}
{place=17, name='Edina Relay 2', school='Edina', grade=1, gender='F', time=3139.33}
