Race : 2005
{place=1, name='Vars A Hopkins', school='Hopkins', grade=12, gender='F', time=684.48}
{place=2, name='Vars A Wayzata', school='Wayzata', grade=12, gender='F', time=698.62}
{place=3, name='Vars A Edina', school='Edina', grade=12, gender='F', time=699.19}
{place=4, name='Vars B Hopkins', school='Hopkins', grade=12, gender='F', time=715.45}
{place=5, name='Vars C Eden Pr', school='Eden Prairie', grade=12, gender='F', time=715.87}
{place=6, name='Vars E Eden Pr', school='Eden Prairie', grade=12, gender='F', time=717.7}
{place=7, name='Vars C Hopkins', school='Hopkins', grade=12, gender='F', time=717.91}
{place=8, name='Vars A Eden Pr', school='Eden Prairie', grade=12, gender='F', time=727.13}
{place=9, name='Vars B Wayzata', school='Wayzata', grade=12, gender='F', time=732.25}
{place=10, name='Vars E Edina', school='Edina', grade=12, gender='F', time=759.2}
{place=11, name='Vars A Tonka', school='Minnetonka', grade=12, gender='F', time=746.16}
{place=12, name='Vars D Hopkins', school='Hopkins', grade=12, gender='F', time=747.95}
{place=13, name='Vars C Edina', school='Edina', grade=12, gender='F', time=748.62}
{place=14, name='Vars C Wayzata', school='Wayzata', grade=12, gender='F', time=781.16}
{place=15, name='Vars B Eden Pr', school='Eden Prairie', grade=12, gender='F', time=781.54}
{place=16, name='Vars B Edina', school='Edina', grade=12, gender='F', time=796.7}
{place=17, name='Vars C Tonka', school='Minnetonka', grade=12, gender='F', time=803.7}
{place=18, name='Vars E Tonka', school='Minnetonka', grade=12, gender='F', time=815.43}
{place=19, name='Vars D Eden Pr', school='Eden Prairie', grade=12, gender='F', time=833.45}
{place=20, name='Vars F Wayzata', school='Wayzata', grade=12, gender='F', time=834.52}
{place=21, name='Vars D Edina', school='Edina', grade=12, gender='F', time=829.75}
{place=22, name='Vars F Eden Pr', school='Eden Prairie', grade=12, gender='F', time=848.16}
{place=23, name='Vars E Hopkins', school='Hopkins', grade=12, gender='F', time=849.66}
{place=24, name='Vars D Wayzata', school='Wayzata', grade=12, gender='F', time=851.91}
{place=25, name='Vars D Tonka', school='Minnetonka', grade=12, gender='F', time=857.68}
{place=26, name='Vars B Tonka', school='Minnetonka', grade=12, gender='F', time=872.35}
{place=27, name='Vars E Wayzata', school='Wayzata', grade=12, gender='F', time=874.97}
{place=28, name='Vars F Hopkins', school='Hopkins', grade=12, gender='F', time=895.16}
{place=29, name='Vars F Edina', school='Edina', grade=12, gender='F', time=924.91}
