Race : 89
{place=1, name='Hopkins 1 Relay', school='Hopkins', grade=12, gender='F', time=2889.77}
{place=2, name='Wayzata Relay1', school='Wayzata', grade=0, gender='F', time=2947.73}
{place=3, name='Wayzata Relay2', school='Wayzata', grade=0, gender='F', time=3041.3}
{place=4, name='Armstrong Relay 1', school='Armstrong', grade=10, gender='F', time=3217.6}
{place=5, name='Wayzata Relay3', school='Wayzata', grade=0, gender='F', time=3264.31}
{place=6, name='Hopkins 2 Relay', school='Hopkins', grade=12, gender='F', time=3292.29}
{place=7, name='Wayzata Relay4', school='Wayzata', grade=0, gender='F', time=3328.43}
{place=8, name='Edina Relay 2', school='Edina', grade=0, gender='F', time=3347.6}
{place=9, name='Mtka Relay 1', school='Minnetonka', grade=0, gender='F', time=3376.04}
{place=10, name='Mtka Relay 2', school='Minnetonka', grade=0, gender='F', time=3439.7}
{place=11, name='Edina Relay 1', school='Edina', grade=0, gender='F', time=3473.67}
{place=12, name='Armstrong Relay 2', school='Armstrong', grade=10, gender='F', time=3559.62}
{place=13, name='Armstrong Relay 3', school='Armstrong', grade=10, gender='F', time=3618.87}
{place=14, name='Mtka Relay 3', school='Minnetonka', grade=0, gender='F', time=3855.75}
{place=15, name='Edina Relay 3', school='Edina', grade=0, gender='F', time=3887.33}
{place=16, name='Armstrong Relay 4', school='Armstrong', grade=10, gender='F', time=3895.7}
{place=17, name='Hopkins 3 Relay', school='Hopkins', grade=12, gender='F', time=3943.02}
{place=18, name='Edina Relay D', school='Edina', grade=0, gender='F', time=4447.6}
