Race : 1439
{place=1, name='MALLORY STACH', school='Prior Lake', grade=9, gender='F', time=1142.19}
{place=2, name='Sarah Olson', school='Blaine', grade=10, gender='F', time=1167.69}
{place=3, name='Molly Weberg', school='Duluth East', grade=10, gender='F', time=1169.12}
{place=4, name='GABRIELLA BRINKLEY', school='Prior Lake', grade=12, gender='F', time=1178.14}
{place=5, name='Allie Wahlund', school='Minot', grade=9, gender='F', time=1183.89}
{place=6, name='Isabella Sutherland', school='Duluth East', grade=11, gender='F', time=1188.14}
{place=7, name='Olivia  Anderson', school='Chaska', grade=11, gender='F', time=1189.39}
{place=8, name='Megan Schiferl', school='East Ridge', grade=12, gender='F', time=1190.14}
{place=9, name='Abigail Hoffarth', school='Minot', grade=9, gender='F', time=1195.85}
{place=10, name='Tiffany Holiday', school='Woodbury', grade=9, gender='F', time=1200.89}
{place=11, name='Samantha Kurkowski', school='Roseville', grade=11, gender='F', time=1202.76}
{place=12, name='Libby Tuttle', school='Stillwater', grade=9, gender='F', time=1202.76}
{place=13, name='Taylor Krone', school='Anoka', grade=11, gender='F', time=1209.05}
{place=14, name='Paige Stearns', school='East Ridge', grade=12, gender='F', time=1209.87}
{place=15, name='Paige Cater', school='Tartan', grade=12, gender='F', time=1210.08}
{place=16, name='Allie Nelson', school='Minot', grade=9, gender='F', time=1210.89}
{place=17, name='Kyra  Anderson', school='Stillwater', grade=12, gender='F', time=1210.89}
{place=18, name='Abbie Wahlund', school='Minot', grade=9, gender='F', time=1213.35}
{place=19, name='Julia Nielsen', school='Andover', grade=10, gender='F', time=1214.98}
{place=20, name='Alli Becker', school='Anoka', grade=10, gender='F', time=1222.23}
{place=21, name='Ava LeNeau', school='Maple Grove', grade=9, gender='F', time=1225.5}
{place=22, name='Jena Hauch', school='Maple Grove', grade=12, gender='F', time=1227.14}
{place=23, name='Abby Witte', school='East Ridge', grade=11, gender='F', time=1230.23}
{place=24, name='Eleasha McKenzie', school='East Ridge', grade=11, gender='F', time=1234.21}
{place=25, name='Catrina Herr', school='Owatonna', grade=8, gender='F', time=1241.75}
{place=26, name='Carmen Rottinghaus', school='Wayzata', grade=11, gender='F', time=1242.55}
{place=27, name='Kathryn Nollette', school='Prior Lake', grade=8, gender='F', time=1243.14}
{place=28, name='MADISON SCHOLL', school='Prior Lake', grade=12, gender='F', time=1243.55}
{place=29, name='LAUREN STACH', school='Prior Lake', grade=12, gender='F', time=1244.37}
{place=30, name='Lexi Maddux', school='Moorhead', grade=11, gender='F', time=1244.37}
{place=31, name='Isabelle Brezinka', school='Anoka', grade=12, gender='F', time=1244.58}
{place=32, name='Riley Allison', school='Maple Grove', grade=10, gender='F', time=1246.16}
{place=33, name='Maria Kalkman', school='Anoka', grade=12, gender='F', time=1246.79}
{place=34, name='Lizzie Campbell', school='Stillwater', grade=10, gender='F', time=1247.83}
{place=35, name='Bethany Olson', school='Stillwater', grade=10, gender='F', time=1256.14}
{place=36, name='OLIVIA ZASTROW', school='Prior Lake', grade=8, gender='F', time=1256.33}
{place=37, name='Megan Lampright', school='Stillwater', grade=10, gender='F', time=1258.14}
{place=38, name='Rana Kraftson', school='Stillwater', grade=11, gender='F', time=1260.89}
{place=39, name='Abbi Moran', school='Owatonna', grade=8, gender='F', time=1261.39}
{place=40, name='Lindsey Purrington', school='Stillwater', grade=11, gender='F', time=1261.85}
{place=41, name='Sydney Phillips', school='Centennial', grade=12, gender='F', time=1264.29}
{place=42, name='Kate Perrill', school='Chaska', grade=9, gender='F', time=1265.12}
{place=43, name='Lindsey Moseley', school='Roseville', grade=7, gender='F', time=1265.3}
{place=44, name='Amara Jackson', school='Roseville', grade=8, gender='F', time=1266.89}
{place=45, name='Maddie Marino', school='Maple Grove', grade=10, gender='F', time=1272.39}
{place=46, name='Gwen Youso', school='Bemidji', grade=9, gender='F', time=1272.85}
{place=47, name='Kelly Canavan', school='Duluth East', grade=11, gender='F', time=1273.14}
{place=48, name='Rebecca Miles', school='Duluth East', grade=10, gender='F', time=1273.21}
{place=49, name='Ellen Mickelson', school='Blaine', grade=11, gender='F', time=1274.23}
{place=50, name='Sofie Overturf', school='Moorhead', grade=11, gender='F', time=1274.55}
{place=51, name='Kayla Dewitt', school='Bemidji', grade=9, gender='F', time=1276.12}
{place=52, name='Anna Healy', school='Wayzata', grade=11, gender='F', time=1276.14}
{place=53, name='Carly Dahms', school='Roseville', grade=10, gender='F', time=1276.45}
{place=54, name='Elizabeth Donner', school='Andover', grade=10, gender='F', time=1276.85}
{place=55, name='Naomi Nickel', school='Roseville', grade=8, gender='F', time=1277.23}
{place=56, name='Mickayla Allen', school='Moorhead', grade=11, gender='F', time=1278.87}
{place=57, name='Cassidy O'Meara', school='Moorhead', grade=10, gender='F', time=1279.34}
{place=58, name='Emma  Snuggerud', school='Chaska', grade=9, gender='F', time=1281.89}
{place=59, name='Nora Vos', school='Duluth East', grade=11, gender='F', time=1283.54}
{place=60, name='Lindsey Kastelle', school='Maple Grove', grade=12, gender='F', time=1286.41}
{place=61, name='Brooke Duncan', school='Moorhead', grade=12, gender='F', time=1288.42}
{place=62, name='Allegra Pihlaja', school='Duluth East', grade=11, gender='F', time=1289.23}
{place=63, name='Mariah Dant', school='Owatonna', grade=12, gender='F', time=1290.05}
{place=64, name='Ceclia Boyle', school='Tartan', grade=12, gender='F', time=1291.08}
{place=65, name='Courtney Kern', school='Wayzata', grade=11, gender='F', time=1291.26}
{place=66, name='Maggie McCarthy', school='Woodbury', grade=7, gender='F', time=1292.29}
{place=67, name='Brianna  Fischer', school='Anoka', grade=12, gender='F', time=1292.51}
{place=68, name='Lauren Johnson', school='Andover', grade=10, gender='F', time=1293.26}
{place=69, name='Kylie Ruprecht', school='Maple Grove', grade=10, gender='F', time=1295.51}
{place=70, name='Haley Orf', school='Woodbury', grade=11, gender='F', time=1296.33}
{place=71, name='Brianna Sharp', school='East Ridge', grade=11, gender='F', time=1296.51}
{place=72, name='Grace Randall', school='Owatonna', grade=9, gender='F', time=1297.33}
{place=73, name='Maria Wallace', school='East Ridge', grade=12, gender='F', time=1298.26}
{place=74, name='Madeline Greelis', school='Andover', grade=9, gender='F', time=1301.89}
{place=75, name='Ella Francis', school='Minot', grade=9, gender='F', time=1301.98}
{place=76, name='Alliana Houfek', school='Osseo', grade=12, gender='F', time=1306.1}
{place=77, name='Allison Lepp', school='Minot', grade=10, gender='F', time=1307.26}
{place=78, name='Elizabeth  Folk', school='Minot', grade=9, gender='M', time=1313.14}
{place=79, name='Maggie Wilson', school='Woodbury', grade=12, gender='F', time=1313.41}
{place=80, name='Sara Wall', school='Owatonna', grade=12, gender='F', time=1313.83}
{place=81, name='Lydia Johnson', school='Anoka', grade=11, gender='F', time=1314.39}
{place=82, name='Annie Steinmetz', school='Blaine', grade=11, gender='F', time=1316.1}
{place=83, name='Taylor Christen', school='Osseo', grade=12, gender='F', time=1317.05}
{place=84, name='Katie Underdal', school='Wayzata', grade=10, gender='F', time=1319.48}
{place=85, name='Kirstie Ziegler', school='Blaine', grade=12, gender='F', time=1320.3}
{place=86, name='Kellen Brandt', school='Centennial', grade=12, gender='F', time=1322.54}
{place=87, name='Natalie Danzl', school='Centennial', grade=11, gender='F', time=1323.35}
{place=88, name='Ellie Frobom', school='Chaska', grade=10, gender='F', time=1323.35}
{place=89, name='Alyssa Gerth', school='Andover', grade=8, gender='F', time=1324.76}
{place=90, name='Anna Julius', school='Woodbury', grade=9, gender='F', time=1329.04}
{place=91, name='Brianna Bergerson', school='Blaine', grade=10, gender='F', time=1329.23}
{place=92, name='Daniella Del Toro', school='East Ridge', grade=12, gender='F', time=1330.85}
{place=93, name='Arlie Kapaun', school='Tartan', grade=7, gender='F', time=1331.14}
{place=94, name='Maren Strootman', school='Osseo', grade=12, gender='F', time=1333.08}
{place=95, name='Mackenzie Polomny', school='Moorhead', grade=12, gender='F', time=1335.91}
{place=96, name='Liv Larson', school='Owatonna', grade=9, gender='F', time=1337.35}
{place=97, name='Elizabeth Strandberg', school='Duluth East', grade=10, gender='F', time=1339.8}
{place=98, name='Carson Gisel', school='Chaska', grade=7, gender='F', time=1342.14}
{place=99, name='Payton Wunderlich', school='Owatonna', grade=11, gender='F', time=1351.76}
{place=100, name='Lia Gentilini', school='Centennial', grade=11, gender='F', time=1354.16}
{place=101, name='Delaney Butler', school='Anoka', grade=11, gender='F', time=1356.39}
{place=102, name='Sicilya Knott', school='Park-Cottage Grove', grade=10, gender='F', time=1360.29}
{place=103, name='Hannah Schluetter', school='Park-Cottage Grove', grade=10, gender='F', time=1363.39}
{place=104, name='Ruby HuotLink', school='Roseville', grade=10, gender='F', time=1367.75}
{place=105, name='Claire Olson', school='Blaine', grade=9, gender='F', time=1368.16}
{place=106, name='Kasidy Chileen', school='Blaine', grade=12, gender='F', time=1368.41}
{place=107, name='Regina Stephenson', school='Woodbury', grade=8, gender='F', time=1369.14}
{place=108, name='Ellie Snuggerud', school='Chaska', grade=12, gender='F', time=1372.87}
{place=109, name='Lauren Janowiec', school='Andover', grade=11, gender='F', time=1373.89}
{place=110, name='GRACE JONDAL', school='Prior Lake', grade=12, gender='F', time=1383.29}
{place=111, name='Essyonna Peschong', school='Centennial', grade=11, gender='F', time=1384.48}
