Race : 1977
{place=1, name='Vars A Highland Park', school='St Paul Highland Park', grade=12, gender='M', time=648.58}
{place=2, name='Vars A Hopkins', school='Hopkins', grade=12, gender='M', time=670.5}
{place=3, name='Varsity A Mpls South', school='Mpls South', grade=12, gender='M', time=677.99}
{place=4, name='Vars A Armstrong', school='Armstrong', grade=12, gender='M', time=692.81}
{place=5, name='Vars B Armstrong', school='Armstrong', grade=12, gender='M', time=694.02}
{place=6, name='Vars A Tonka', school='Minnetonka', grade=12, gender='M', time=707.07}
{place=7, name='Vars B Hopkins', school='Hopkins', grade=12, gender='M', time=714.57}
{place=8, name='Vars A Prior Lake', school='Prior Lake', grade=12, gender='M', time=718.02}
{place=9, name='Vars B Highland Park', school='St Paul Highland Park', grade=12, gender='M', time=737.12}
{place=10, name='Vars B Tonka', school='Minnetonka', grade=12, gender='M', time=739.25}
{place=11, name='Vars A Henry Sibley', school='Henry Sibley', grade=12, gender='M', time=868.85}
{place=12, name='Vars B Prior Lake', school='Prior Lake', grade=12, gender='M', time=943.08}
{place=13, name='Varsity B Mpls South', school='Mpls South', grade=12, gender='M', time=743.57}
