Race : 63
{place=1, name='SW1 CoEd', school='Minneapolis Southwest', grade=12, gender='M', time=1401.84}
{place=2, name='SW2 CoEd', school='Minneapolis Southwest', grade=12, gender='M', time=1419.41}
{place=3, name='Washburn1 CoEd', school='Washburn', grade=12, gender='M', time=1430.45}
{place=4, name='SW3 CoEd', school='Minneapolis Southwest', grade=12, gender='M', time=1519.83}
{place=5, name='SW4 CoEd', school='Minneapolis Southwest', grade=12, gender='M', time=1565.82}
{place=6, name='SW5 CoEd', school='Minneapolis Southwest', grade=12, gender='M', time=1568.09}
{place=7, name='SW14 CoEd', school='Minneapolis Southwest', grade=12, gender='M', time=1577.17}
{place=8, name='Washburn2 CoEd', school='Washburn', grade=12, gender='M', time=1586.26}
{place=9, name='Richfield C Co-Ed ', school='Richfield', grade=12, gender='M', time=1617.19}
{place=10, name='SW6 CoEd', school='Minneapolis Southwest', grade=12, gender='M', time=1671.91}
{place=11, name='SW11 CoEd', school='Minneapolis Southwest', grade=11, gender='M', time=1675.85}
{place=12, name='SW5 Boys', school='Minneapolis Southwest', grade=12, gender='M', time=1698.48}
{place=13, name='SW12 CoEd', school='Minneapolis Southwest', grade=11, gender='M', time=1705.83}
{place=14, name='SW13 CoEd', school='Minneapolis Southwest', grade=11, gender='M', time=1711.14}
{place=15, name='South1 CoEd', school='Minneapolis South', grade=13, gender='M', time=1726.81}
{place=16, name='SW9 CoEd', school='Minneapolis Southwest', grade=11, gender='M', time=1737.52}
{place=17, name='Washburn3 CoEd', school='Washburn', grade=12, gender='M', time=1772.01}
{place=18, name='South3 CoEd', school='Minneapolis South', grade=12, gender='M', time=1866.73}
{place=19, name='Roosevelt Co-Ed', school='Minneapolis Roosevelt', grade=11, gender='M', time=1879.65}
{place=20, name='South2 CoEd', school='Minneapolis South', grade=12, gender='M', time=1880.3}
