Race : 1978
{place=1, name='Vars A Southwest', school='Mpls Southwest', grade=12, gender='F', time=689.99}
{place=2, name='Vars A Highland Park', school='St Paul Highland Park', grade=12, gender='F', time=711.29}
{place=3, name='Vars A Irondale', school='Irondale', grade=12, gender='F', time=712.89}
{place=4, name='Vars A Eden Pr', school='Eden Prairie', grade=12, gender='F', time=723.75}
{place=5, name='Vars A Hopkins', school='Hopkins', grade=12, gender='F', time=725.66}
{place=6, name='Vars A Lakeville', school='Lakeville', grade=12, gender='F', time=742.71}
{place=7, name='Vars B Hopkins', school='Hopkins', grade=12, gender='F', time=806.84}
{place=8, name='Vars A Henry Sibley', school='Henry Sibley', grade=12, gender='F', time=810.46}
{place=9, name='Vars A Eastview', school='Eastview', grade=12, gender='F', time=834.86}
{place=10, name='Vars B Highland Park', school='St Paul Highland Park', grade=12, gender='F', time=856.1}
{place=11, name='Vars A Prior Lake', school='Prior Lake', grade=12, gender='F', time=889.63}
{place=12, name='Vars B Tonka', school='Minnetonka', grade=12, gender='F', time=889.83}
{place=13, name='Vars A Armstrong', school='Armstrong', grade=12, gender='F', time=896.55}
{place=14, name='Vars B Armstrong', school='Armstrong', grade=12, gender='F', time=897.57}
{place=15, name='Varsty A PWER', school='Park-Woodbury-East R', grade=12, gender='F', time=918.29}
{place=16, name='Vars B Lakeville', school='Lakeville', grade=12, gender='F', time=930.47}
{place=17, name='Vars B Southwest', school='Mpls Southwest', grade=12, gender='F', time=938.78}
{place=18, name='Vars B Eden Pr', school='Eden Prairie', grade=12, gender='F', time=943.44}
{place=19, name='Varsity A Burnsville', school='Burnsville', grade=12, gender='F', time=943.46}
{place=20, name='Vars B Henry Sibley', school='Henry Sibley', grade=12, gender='F', time=984.37}
{place=21, name='Varsity A Park Center', school='Park Center', grade=12, gender='F', time=1004.64}
{place=22, name='Varsity B PWER', school='Park-Woodbury-East R', grade=12, gender='F', time=1033.14}
{place=23, name='Vars A Blaine', school='Blaine', grade=12, gender='F', time=1043.51}
{place=24, name='Vars B Prior Lake', school='Prior Lake', grade=12, gender='F', time=1064.41}
{place=25, name='Vars B Blaine', school='Blaine', grade=12, gender='F', time=1160.89}
{place=26, name='Varsity B Park Center', school='Park Center', grade=12, gender='F', time=2525.93}
{place=27, name='Varsity A Mpls South', school='Mpls South', grade=12, gender='F', time=10126.5}
