Race : 996
{place=1, name='Megan Sauer', school='Bethany College', grade=14, gender='F', time=1461.84}
{place=2, name='Emilee Koltz', school='Martin Luther College', grade=16, gender='F', time=1478.78}
{place=3, name='Amara Biebert', school='Martin Luther College', grade=15, gender='F', time=1481.71}
{place=4, name='Lauren Farquhar', school='Bethany College', grade=14, gender='F', time=1495.38}
{place=5, name='Rachel Winter', school='Martin Luther College', grade=13, gender='F', time=1512.88}
{place=6, name='Shawna Heilman', school='Crown College', grade=15, gender='F', time=1563.08}
{place=7, name='Kirsten Elyea', school='Bethany College', grade=13, gender='F', time=1593.3}
{place=8, name='Elizabeth Kern', school='Crown College', grade=13, gender='F', time=1618.34}
{place=9, name='Alissa Sauer', school='Bethany College', grade=16, gender='F', time=1639.88}
{place=10, name='Julie Kent', school='Martin Luther College', grade=16, gender='F', time=1649.29}
{place=11, name='Sarah Hackbarth', school='Martin Luther College', grade=14, gender='F', time=1652.81}
{place=12, name='Tessa Heiling', school='Martin Luther College', grade=14, gender='F', time=1672.84}
{place=13, name='Rebecca Rehberger', school='Martin Luther College', grade=16, gender='F', time=1691.58}
{place=14, name='Katie Caflisch', school='Bethany College', grade=13, gender='F', time=1702.53}
{place=15, name='Emily Renner', school='Martin Luther College', grade=15, gender='F', time=1709.29}
{place=16, name='Elizabeth Schwartz', school='Martin Luther College', grade=13, gender='F', time=1722.15}
{place=17, name='Mariah Kragh', school='Bethany College', grade=14, gender='F', time=1730.02}
{place=18, name='Hannah VanNatta', school='Martin Luther College', grade=13, gender='F', time=1777.41}
{place=19, name='Mary Meyer', school='Martin Luther College', grade=13, gender='F', time=1778.37}
{place=20, name='Hannah Olson', school='Crown College', grade=14, gender='F', time=1788.85}
{place=21, name='Beth Zoromski', school='Crown College', grade=13, gender='F', time=1817.45}
{place=22, name='Olivia Johnson', school='Crown College', grade=14, gender='F', time=1853.96}
{place=23, name='Sarah Holmquist', school='Crown College', grade=15, gender='F', time=1860.89}
{place=24, name='Danielle Marzinske', school='Bethany College', grade=14, gender='F', time=1904.14}
{place=25, name='Brittany Moldstad', school='Bethany College', grade=13, gender='F', time=1939.18}
{place=26, name='BreAnna Robertson', school='Crown College', grade=13, gender='F', time=1987.87}
{place=27, name='Alecia Miller', school='Crown College', grade=16, gender='F', time=1998.7}
{place=28, name='Rebekah Behrens', school='Crown College', grade=14, gender='F', time=1999.47}
{place=29, name='Elise Widmer', school='Bethany College', grade=13, gender='F', time=2018.65}
{place=30, name='Hannah Painting', school='Crown College', grade=13, gender='F', time=2113.82}
