Race : 2058
{place=1, name='Vars A Highland Park', school='St Paul Highland Park', grade=13, gender='M', time=831.8}
{place=2, name='Vars A Blaine', school='Blaine', grade=12, gender='M', time=843.15}
{place=3, name='Vars A Southwest', school='Mpls Southwest', grade=12, gender='M', time=847.57}
{place=4, name='Vars A Armstrong', school='Armstrong', grade=13, gender='M', time=850.71}
{place=5, name='Vars A St Paul Central', school='St Paul Central', grade=12, gender='M', time=873.94}
{place=6, name='Vars A ISD 196', school='ISD 196', grade=12, gender='M', time=881.57}
{place=7, name='Vars A Irondale', school='Irondale', grade=12, gender='M', time=890.39}
{place=8, name='Vars A Eagan', school='Eagan', grade=12, gender='M', time=891.2}
{place=9, name='Vars A Prior Lake', school='Prior Lake', grade=12, gender='M', time=901.82}
{place=10, name='Vars A Eden Pr', school='Eden Prairie', grade=12, gender='M', time=904.82}
{place=11, name='Vars A Bloomington', school='Bloomington', grade=12, gender='M', time=986.54}
{place=12, name='Vars A PWER', school='PWER', grade=12, gender='M', time=993.62}
{place=13, name='Vars A Lakeville', school='Lakeville', grade=12, gender='M', time=1043.14}
{place=14, name='Vars A Henry Sibley', school='Henry Sibley', grade=12, gender='M', time=1119.85}
