Race : 1976
{place=1, name='Vars A Highland Park', school='St Paul Highland Park', grade=12, gender='F', time=749.41}
{place=2, name='Vars A Hopkins', school='Hopkins', grade=12, gender='F', time=753.16}
{place=3, name='Vars B Hopkins', school='Hopkins', grade=12, gender='F', time=815.63}
{place=4, name='Vars A Henry Sibley', school='Henry Sibley', grade=12, gender='F', time=820.28}
{place=5, name='Vars B Highland Park', school='St Paul Highland Park', grade=12, gender='F', time=856.1}
{place=6, name='Vars A Prior Lake', school='Prior Lake', grade=12, gender='F', time=889.63}
{place=7, name='Vars B Tonka', school='Minnetonka', grade=12, gender='F', time=889.83}
{place=8, name='Vars A Armstrong', school='Armstrong', grade=12, gender='F', time=896.55}
{place=9, name='Vars B Armstrong', school='Armstrong', grade=12, gender='F', time=897.57}
{place=10, name='Vars B Henry Sibley', school='Henry Sibley', grade=12, gender='F', time=984.37}
{place=11, name='Vars B Prior Lake', school='Prior Lake', grade=12, gender='F', time=1064.41}
