Race : 1960
{place=1, name='Vars A Southwest', school='Mpls Southwest', grade=12, gender='M', time=614.94}
{place=2, name='Vars A Lakeville', school='Lakeville', grade=12, gender='M', time=621.44}
{place=3, name='Varsity A Burnsville', school='Burnsville', grade=12, gender='M', time=630.37}
{place=4, name='Vars A Eagan', school='Eagan', grade=12, gender='M', time=637.67}
{place=5, name='Vars A Eden Pr', school='Eden Prairie', grade=12, gender='M', time=650.27}
{place=6, name='Vars B Eagan', school='Eagan', grade=12, gender='M', time=732.21}
{place=7, name='Vars B Eden Pr', school='Eden Prairie', grade=12, gender='M', time=732.42}
{place=8, name='Vars B Southwest', school='Mpls Southwest', grade=12, gender='M', time=757.77}
{place=9, name='Vars A Blaine', school='Blaine', grade=12, gender='M', time=780.46}
{place=10, name='Vars A Irondale', school='Irondale', grade=12, gender='M', time=783.44}
{place=11, name='Vars B Irondale', school='Irondale', grade=12, gender='M', time=805.94}
{place=12, name='Varsity A Park Center', school='Park Center', grade=12, gender='M', time=843.59}
{place=13, name='Varsity A PWER', school='Park-Woodbury-East R', grade=12, gender='M', time=844.19}
{place=14, name='Vars B Blaine', school='Blaine', grade=12, gender='M', time=863.44}
{place=15, name='Varsity B PWER', school='Park-Woodbury-East R', grade=12, gender='M', time=907.86}
