Race : 2004
{place=1, name='Vars A Wayzata', school='Wayzata', grade=12, gender='M', time=624.19}
{place=2, name='Vars A Tonka', school='Minnetonka', grade=12, gender='M', time=643.28}
{place=3, name='Vars A Edina', school='Edina', grade=12, gender='M', time=643.28}
{place=4, name='Vars A Eden Pr', school='Eden Prairie', grade=12, gender='M', time=651.58}
{place=5, name='Vars B Wayzata', school='Wayzata', grade=12, gender='M', time=658.91}
{place=6, name='Vars B Hopkins', school='Hopkins', grade=12, gender='M', time=674.82}
{place=7, name='Vars C Wayzata', school='Wayzata', grade=12, gender='M', time=675.53}
{place=8, name='Vars C Eden Pr', school='Eden Prairie', grade=12, gender='M', time=679.57}
{place=9, name='Vars E Edina', school='Edina', grade=12, gender='M', time=698.57}
{place=10, name='Vars E Tonka', school='Minnetonka', grade=12, gender='M', time=733.95}
{place=11, name='Vars C Edina', school='Edina', grade=12, gender='M', time=685.77}
{place=12, name='Vars C Tonka', school='Minnetonka', grade=12, gender='M', time=694.45}
{place=13, name='Vars C Hopkins', school='Hopkins', grade=12, gender='M', time=705.27}
{place=14, name='Vars D Wayzata', school='Wayzata', grade=12, gender='M', time=708.29}
{place=15, name='Vars B Edina', school='Edina', grade=12, gender='M', time=709.5}
{place=16, name='Vars F Wayzata', school='Wayzata', grade=12, gender='M', time=709.5}
{place=17, name='Vars B Eden Pr', school='Eden Prairie', grade=12, gender='M', time=713.75}
{place=18, name='Vars D Tonka', school='Minnetonka', grade=12, gender='M', time=730.14}
{place=19, name='Vars E Eden Pr', school='Eden Prairie', grade=12, gender='M', time=733.25}
{place=20, name='Vars D Hopkins', school='Hopkins', grade=12, gender='M', time=748.77}
{place=21, name='Vars D Eden Pr', school='Eden Prairie', grade=12, gender='M', time=745.25}
{place=22, name='Vars E Wayzata', school='Wayzata', grade=12, gender='M', time=751.62}
{place=23, name='Vars D Edina', school='Edina', grade=12, gender='M', time=753.66}
{place=24, name='Vars B Tonka', school='Minnetonka', grade=12, gender='M', time=768.1}
{place=25, name='Vars E Hopkins', school='Hopkins', grade=12, gender='M', time=768.45}
{place=26, name='Vars F Eden Pr', school='Eden Prairie', grade=12, gender='M', time=770.95}
{place=27, name='Vars A Hopkins', school='Hopkins', grade=12, gender='M', time=785.91}
{place=28, name='Vars F Edina', school='Edina', grade=12, gender='M', time=788.97}
{place=29, name='Vars F Hopkins', school='Hopkins', grade=12, gender='M', time=826.97}
