Race : 1961
{place=1, name='Vars A Southwest', school='Mpls Southwest', grade=12, gender='F', time=720.0}
{place=2, name='Vars A Irondale', school='Irondale', grade=12, gender='F', time=736.66}
{place=3, name='Vars A Eden Pr', school='Eden Prairie', grade=12, gender='F', time=737.72}
{place=4, name='Vars A Lakeville', school='Lakeville', grade=12, gender='F', time=780.23}
{place=5, name='Vars A Eastview', school='Eastview', grade=12, gender='F', time=834.86}
{place=6, name='Varsty A PWER', school='Park-Woodbury-East R', grade=12, gender='F', time=918.29}
{place=7, name='Vars B Lakeville', school='Lakeville', grade=12, gender='F', time=930.47}
{place=8, name='Vars B Southwest', school='Mpls Southwest', grade=12, gender='F', time=938.78}
{place=9, name='Vars B Eden Pr', school='Eden Prairie', grade=12, gender='F', time=943.44}
{place=10, name='Varsity A Burnsville', school='Burnsville', grade=12, gender='F', time=943.46}
{place=11, name='Varsity A Park Center', school='Park Center', grade=12, gender='F', time=1004.64}
{place=12, name='Varsity B PWER', school='Park-Woodbury-East R', grade=12, gender='F', time=1033.14}
{place=13, name='Vars A Blaine', school='Blaine', grade=12, gender='F', time=1043.51}
{place=14, name='Vars B Blaine', school='Blaine', grade=12, gender='F', time=1160.89}
